ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-215445,ocds-lcuori-215445/2-contract,byQwDr-xK3qzP,byQwDr,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-215445,ocds-lcuori-215445/2-contract,byQwDr-xK3qzP-ero6KM,byQwDr-xK3qzP,GERENCIA DE LA CNSSP
ocds-lcuori-215446,ocds-lcuori-215446/2-contract,byPAjK-byP1K8,byPAjK,Instituto Hondure?o de Turismo
ocds-lcuori-215446,ocds-lcuori-215446/2-contract,byPAjK-byP1K8-qyVbya,byPAjK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222045,ocds-lcuori-222045/2-contract,RyYlqz-byP1K8,RyYlqz,Instituto de Credito Educativo
ocds-lcuori-222045,ocds-lcuori-222045/2-contract,RyYlqz-byP1K8-7zv2zR,RyYlqz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215447,ocds-lcuori-215447/2-contract,RKZayY-byP1K8,RKZayY,Instituto de Acceso a la Informacion Publica
ocds-lcuori-215447,ocds-lcuori-215447/2-contract,RKZayY-byP1K8-byP1K8,RKZayY-byP1K8,GERENCIA_CENTRAL
ocds-lcuori-222046,ocds-lcuori-222046/2-contract,RyYlqz-byP1K8,RyYlqz,Instituto de Credito Educativo
ocds-lcuori-222046,ocds-lcuori-222046/2-contract,RyYlqz-byP1K8-5zp8zA,RyYlqz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215448,ocds-lcuori-215448/2-contract,NzBWWy-byP1K8,NzBWWy,Secretaria de Defensa
ocds-lcuori-215448,ocds-lcuori-215448/2-contract,NzBWWy-byP1K8-az8Qyd,NzBWWy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222056,ocds-lcuori-222056/2-contract,lzlBXK-RyYNKL,lzlBXK,Secretaria de Salud
ocds-lcuori-222056,ocds-lcuori-222056/2-contract,lzlBXK-RyYNKL-wrLByx,lzlBXK-RyYNKL,GERENCIA ADMINISTRATIVA HOSPITAL PSIQUIATRICO SANTA ROSITA
ocds-lcuori-222057,ocds-lcuori-222057/2-contract,lzlBXK-byP1K8,lzlBXK,Secretaria de Salud
ocds-lcuori-222057,ocds-lcuori-222057/2-contract,lzlBXK-byP1K8-NzBWJy,lzlBXK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222058,ocds-lcuori-222058/2-contract,lzlBXK-wrL0Br,lzlBXK,Secretaria de Salud
ocds-lcuori-222058,ocds-lcuori-222058/2-contract,lzlBXK-wrL0Br-NzBBWz,lzlBXK-wrL0Br,GERENCIA ADMINISTRATIVA DEPARTAMENTO DE YORO
ocds-lcuori-222059,ocds-lcuori-222059/2-contract,byPeXK-byP1K8,byPeXK,Universidad Nacional Autonoma de Honduras
ocds-lcuori-222059,ocds-lcuori-222059/2-contract,byPeXK-byP1K8-5zp8zA,byPeXK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222060,ocds-lcuori-222060/2-contract,wrLByx-byP1K8,wrLByx,Comisionado Nacional de Derechos Humanos
ocds-lcuori-222060,ocds-lcuori-222060/2-contract,wrLByx-byP1K8-byP1K8,wrLByx-byP1K8,GERENCIA ADMINISTRATIVA CENTRAL
ocds-lcuori-215455,ocds-lcuori-215455/2-contract,byQwDr-xK3qzP,byQwDr,Secretaria de Infraestructura y Servicios Publicos
ocds-lcuori-215455,ocds-lcuori-215455/2-contract,byQwDr-xK3qzP-ero6KM,byQwDr-xK3qzP,GERENCIA DE LA CNSSP
ocds-lcuori-215456,ocds-lcuori-215456/2-contract,byPAjK-byP1K8,byPAjK,Instituto Hondure?o de Turismo
ocds-lcuori-215456,ocds-lcuori-215456/2-contract,byPAjK-byP1K8-qyVbya,byPAjK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215458,ocds-lcuori-215458/2-contract,NzBWWy-byP1K8,NzBWWy,Secretaria de Defensa
ocds-lcuori-215458,ocds-lcuori-215458/2-contract,NzBWWy-byP1K8-az8Qyd,NzBWWy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215459,ocds-lcuori-215459/2-contract,NzBWWy-byP1K8,NzBWWy,Secretaria de Defensa
ocds-lcuori-215459,ocds-lcuori-215459/2-contract,NzBWWy-byP1K8-az8Qyd,NzBWWy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222066,ocds-lcuori-222066/2-contract,rNxn0y-byP1K8,rNxn0y,"Sistema Nacional de Emergencias Nueve, Uno, Uno (911)"
ocds-lcuori-222066,ocds-lcuori-222066/2-contract,rNxn0y-byP1K8-byP1K8,rNxn0y-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222067,ocds-lcuori-222067/2-contract,wrLQmz-byP1K8,wrLQmz,Universidad Nacional de Agricultura
ocds-lcuori-222067,ocds-lcuori-222067/2-contract,wrLQmz-byP1K8-byP1K8,wrLQmz-byP1K8,GERENCIA CENTRAL
