ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name,planning/budget/budgetBreakdown/0/description
ocds-lcuori-MLQgWR-CM 314-CBVA-2019-1,ocds-lcuori-MLQgWR-CM 314-CBVA-2019-1/5,MLQgWR-CM 314-CBVA-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQgWR-CM 317-CBVA-2019-1,ocds-lcuori-MLQgWR-CM 317-CBVA-2019-1/6,MLQgWR-CM 317-CBVA-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQgWR-CM 318-CBVA-2019-1,ocds-lcuori-MLQgWR-CM 318-CBVA-2019-1/6,MLQgWR-CM 318-CBVA-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-orvwnL-CM-559-INP-2019-1,ocds-lcuori-orvwnL-CM-559-INP-2019-1/4,orvwnL-CM-559-INP-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-orvwnL-CM-561-INP-2019-1,ocds-lcuori-orvwnL-CM-561-INP-2019-1/4,orvwnL-CM-561-INP-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-ZGqwer-CM-077-BomberosElProgreso-2019-1,ocds-lcuori-ZGqwer-CM-077-BomberosElProgreso-2019-1/5,ZGqwer-CM-077-BomberosElProgreso-2019-1,1-FgRNyG6,FgRNyG6,Fondo Común ,Recursos Nacionales
ocds-lcuori-ZGqwer-CM-076-BomberosElProgreso-2019-1,ocds-lcuori-ZGqwer-CM-076-BomberosElProgreso-2019-1/5,ZGqwer-CM-076-BomberosElProgreso-2019-1,1-FgRNyG6,FgRNyG6,Fondo Común ,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-615-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-615-2019-1/6,vGZKAR-CM-AMD-CS-615-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-620-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-620-2019-1/6,vGZKAR-CM-AMD-CS-620-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-DRW4Nr-LPN-MUNILAENCARNACION-2,ocds-lcuori-DRW4Nr-LPN-MUNILAENCARNACION-2/3,DRW4Nr-LPN-MUNILAENCARNACION-2,1.0-FgRNyG6,FgRNyG6,Fondo Común ,Recursos Nacionales
ocds-lcuori-lRoK2R-LP-DARA-005-2019-2,ocds-lcuori-lRoK2R-LP-DARA-005-2019-2/6,lRoK2R-LP-DARA-005-2019-2,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-623-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-623-2019-1/5,vGZKAR-CM-AMD-CS-623-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZWNR-10006069-TEG-1,ocds-lcuori-vGZWNR-10006069-TEG-1/4,vGZWNR-10006069-TEG-1,1-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-vGZWNR-10006143-TEG-1,ocds-lcuori-vGZWNR-10006143-TEG-1/4,vGZWNR-10006143-TEG-1,1-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-PR8Q5r-224-CM-IHT-2019-1,ocds-lcuori-PR8Q5r-224-CM-IHT-2019-1/4,PR8Q5r-224-CM-IHT-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZWNR-10006145-TEG-1,ocds-lcuori-vGZWNR-10006145-TEG-1/4,vGZWNR-10006145-TEG-1,1-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-vGZWNR-CD-IHSS-10006144-2,ocds-lcuori-vGZWNR-CD-IHSS-10006144-2/4,vGZWNR-CD-IHSS-10006144-2,1.0-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-vGZWNR-CD-IHSS-10006146-2,ocds-lcuori-vGZWNR-CD-IHSS-10006146-2/4,vGZWNR-CD-IHSS-10006146-2,1.0-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-vGZWNR-CD-IHSS-10006147-2,ocds-lcuori-vGZWNR-CD-IHSS-10006147-2/4,vGZWNR-CD-IHSS-10006147-2,1.0-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-MLQmwL-CM-172-2019-1,ocds-lcuori-MLQmwL-CM-172-2019-1/6,MLQmwL-CM-172-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-NLPAVG-2019-080-FN-INAM-1,ocds-lcuori-NLPAVG-2019-080-FN-INAM-1/5,NLPAVG-2019-080-FN-INAM-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-jRDkVG-08-011-2019-1,ocds-lcuori-jRDkVG-08-011-2019-1/6,jRDkVG-08-011-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQmwL-CM-190-2019-1,ocds-lcuori-MLQmwL-CM-190-2019-1/6,MLQmwL-CM-190-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-Er6QoR-CM-016-LV-2019-1,ocds-lcuori-Er6QoR-CM-016-LV-2019-1/5,Er6QoR-CM-016-LV-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-DRW78R-CM-0116-CBSB-2019-1,ocds-lcuori-DRW78R-CM-0116-CBSB-2019-1/5,DRW78R-CM-0116-CBSB-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQmwL-CPN-04-2019-2,ocds-lcuori-MLQmwL-CPN-04-2019-2/3,MLQmwL-CPN-04-2019-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQmwL-CPN-05-2019-2,ocds-lcuori-MLQmwL-CPN-05-2019-2/3,MLQmwL-CPN-05-2019-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-grxXEr-L.P. 049-2019-2,ocds-lcuori-grxXEr-L.P. 049-2019-2/6,grxXEr-L.P. 049-2019-2,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-2LmqDL-LPuNO-01-AMDC-45-2019-2,ocds-lcuori-2LmqDL-LPuNO-01-AMDC-45-2019-2/11,2LmqDL-LPuNO-01-AMDC-45-2019-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-NrdVGA-CM-384-SEDUC-2019-1,ocds-lcuori-NrdVGA-CM-384-SEDUC-2019-1/6,NrdVGA-CM-384-SEDUC-2019-1,1-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-WRzdbL-030-2019-HT-1,ocds-lcuori-WRzdbL-030-2019-HT-1/5,WRzdbL-030-2019-HT-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQmwL-CM-176-2019-1,ocds-lcuori-MLQmwL-CM-176-2019-1/5,MLQmwL-CM-176-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-gGyzvR-CBH-CBO-032-2019-1,ocds-lcuori-gGyzvR-CBH-CBO-032-2019-1/5,gGyzvR-CBH-CBO-032-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-jRDkQG-CM-205-2019-HMCR-2,ocds-lcuori-jRDkQG-CM-205-2019-HMCR-2/6,jRDkQG-CM-205-2019-HMCR-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-gGyzvR-CBH-CBO-034-2019-1,ocds-lcuori-gGyzvR-CBH-CBO-034-2019-1/5,gGyzvR-CBH-CBO-034-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-oLjPmR-CM-055-DECAD-2019-1,ocds-lcuori-oLjPmR-CM-055-DECAD-2019-1/5,oLjPmR-CM-055-DECAD-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-gGyzvR-CBH-CBO-035-2019-1,ocds-lcuori-gGyzvR-CBH-CBO-035-2019-1/5,gGyzvR-CBH-CBO-035-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-KLg7zL-CM-027-BNAC-2019-1,ocds-lcuori-KLg7zL-CM-027-BNAC-2019-1/5,KLg7zL-CM-027-BNAC-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-628-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-628-2019-1/6,vGZKAR-CM-AMD-CS-628-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-vGZKAR-CM-AMD-CS-630-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-630-2019-1/6,vGZKAR-CM-AMD-CS-630-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-MLQW8R-1227-RDSLP-2019-1,ocds-lcuori-MLQW8R-1227-RDSLP-2019-1/5,MLQW8R-1227-RDSLP-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
