ocid,id,awards/0/id
ocds-lcuori-PR8ooG-CM-300-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-300-CONAPID-2019-1/2,PR8ooG-CM-300-CONAPID-2019-1
ocds-lcuori-PLeQ0L-CM-MEP-1392-19-1,ocds-lcuori-PLeQ0L-CM-MEP-1392-19-1/5,PLeQ0L-CM-MEP-1392-19-1
ocds-lcuori-PLeQ0L-CM-MEP-1396-19-1,ocds-lcuori-PLeQ0L-CM-MEP-1396-19-1/5,PLeQ0L-CM-MEP-1396-19-1
ocds-lcuori-kR0k5G-CM-048ST-CNE-2019-1,ocds-lcuori-kR0k5G-CM-048ST-CNE-2019-1/5,kR0k5G-CM-048ST-CNE-2019-1
ocds-lcuori-grxKER-DGMM-CM-0164-2019-1,ocds-lcuori-grxKER-DGMM-CM-0164-2019-1/4,grxKER-DGMM-CM-0164-2019-1
ocds-lcuori-grxKER-DGMM-CM-0165-2019-1,ocds-lcuori-grxKER-DGMM-CM-0165-2019-1/4,grxKER-DGMM-CM-0165-2019-1
ocds-lcuori-grxKER-DGMM-CM-0167-2019-1,ocds-lcuori-grxKER-DGMM-CM-0167-2019-1/4,grxKER-DGMM-CM-0167-2019-1
ocds-lcuori-orvovL-UNAH-SEAF-OC-8626-2019-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-8626-2019-1/3,orvovL-UNAH-SEAF-OC-8626-2019-1
ocds-lcuori-7GXbbr-CM-MCH-0259-19-1,ocds-lcuori-7GXbbr-CM-MCH-0259-19-1/4,7GXbbr-CM-MCH-0259-19-1
ocds-lcuori-ERpaDr-CM-16-073-2019-1,ocds-lcuori-ERpaDr-CM-16-073-2019-1/2,ERpaDr-CM-16-073-2019-1
ocds-lcuori-XRb6JR-REQ-4922-2019-1,ocds-lcuori-XRb6JR-REQ-4922-2019-1/5,XRb6JR-REQ-4922-2019-1
ocds-lcuori-vGZKAR-CM-AMD-CS-1299-2019-1,ocds-lcuori-vGZKAR-CM-AMD-CS-1299-2019-1/2,vGZKAR-CM-AMD-CS-1299-2019-1
ocds-lcuori-jRDA5r-SOLICITUD1439-1,ocds-lcuori-jRDA5r-SOLICITUD1439-1/3,jRDA5r-SOLICITUD1439-1
ocds-lcuori-jRDA5r-SOLICITUD798-1,ocds-lcuori-jRDA5r-SOLICITUD798-1/4,jRDA5r-SOLICITUD798-1
ocds-lcuori-PLeQ0L-CM-MEP-2169-19-1,ocds-lcuori-PLeQ0L-CM-MEP-2169-19-1/2,PLeQ0L-CM-MEP-2169-19-1
ocds-lcuori-PLeQ0L-CM-MEP-2170-19-1,ocds-lcuori-PLeQ0L-CM-MEP-2170-19-1/2,PLeQ0L-CM-MEP-2170-19-1
ocds-lcuori-0rwm9G-C-2019148-1,ocds-lcuori-0rwm9G-C-2019148-1/2,0rwm9G-C-2019148-1
ocds-lcuori-Zr56vL-Cot.000305-2019-1,ocds-lcuori-Zr56vL-Cot.000305-2019-1/3,Zr56vL-Cot.000305-2019-1
ocds-lcuori-PLeQ0L-CM-MEP-2171-19-1,ocds-lcuori-PLeQ0L-CM-MEP-2171-19-1/2,PLeQ0L-CM-MEP-2171-19-1
ocds-lcuori-Zr56vL-Cot.000308-2019-1,ocds-lcuori-Zr56vL-Cot.000308-2019-1/3,Zr56vL-Cot.000308-2019-1
ocds-lcuori-Zr56vL-Cot.000309-2019 -1,ocds-lcuori-Zr56vL-Cot.000309-2019 -1/3,Zr56vL-Cot.000309-2019 -1
ocds-lcuori-0rwm9G-C-2019150-1,ocds-lcuori-0rwm9G-C-2019150-1/2,0rwm9G-C-2019150-1
ocds-lcuori-grxKER-DGMM-CM-0231-2019-1,ocds-lcuori-grxKER-DGMM-CM-0231-2019-1/3,grxKER-DGMM-CM-0231-2019-1
ocds-lcuori-WRzbRe-LPR-044-DGC-UATSV-2019-2,ocds-lcuori-WRzbRe-LPR-044-DGC-UATSV-2019-2/6,WRzbRe-LPR-044-DGC-UATSV-2019-2
ocds-lcuori-XRb6JR-REQ-4953-2019-1,ocds-lcuori-XRb6JR-REQ-4953-2019-1/5,XRb6JR-REQ-4953-2019-1
ocds-lcuori-0rwm9G-C-2019095-1,ocds-lcuori-0rwm9G-C-2019095-1/4,0rwm9G-C-2019095-1
ocds-lcuori-0rwm9G-C-2019151-1,ocds-lcuori-0rwm9G-C-2019151-1/3,0rwm9G-C-2019151-1
