ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-2LmqDL-LPrNO-56-AMDC-74-2016-2,ocds-lcuori-2LmqDL-LPrNO-56-AMDC-74-2016-2/3,2LmqDL-LPrNO-56-AMDC-74-2016-2,2LmqDL-LPrNO-56-AMDC-74-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-25-AMDC-82-2016-2,ocds-lcuori-2LmqDL-LPrNO-25-AMDC-82-2016-2/3,2LmqDL-LPrNO-25-AMDC-82-2016-2,2LmqDL-LPrNO-25-AMDC-82-2016-2,200.0,document
ocds-lcuori-MLQW8R-07-2016-2,ocds-lcuori-MLQW8R-07-2016-2/3,MLQW8R-07-2016-2,MLQW8R-07-2016-2,50.0,document
ocds-lcuori-mrY1dr-LPN-SEDS-003-2016-2,ocds-lcuori-mrY1dr-LPN-SEDS-003-2016-2/3,mrY1dr-LPN-SEDS-003-2016-2,mrY1dr-LPN-SEDS-003-2016-2,2000.0,document
ocds-lcuori-2LmqDL-LPrNO-67-AMDC-91-2016-2,ocds-lcuori-2LmqDL-LPrNO-67-AMDC-91-2016-2/3,2LmqDL-LPrNO-67-AMDC-91-2016-2,2LmqDL-LPrNO-67-AMDC-91-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-76-AMDC-102-2016-2,ocds-lcuori-2LmqDL-LPrNO-76-AMDC-102-2016-2/3,2LmqDL-LPrNO-76-AMDC-102-2016-2,2LmqDL-LPrNO-76-AMDC-102-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-21-AMDC-34-2016-2,ocds-lcuori-2LmqDL-LPrNO-21-AMDC-34-2016-2/3,2LmqDL-LPrNO-21-AMDC-34-2016-2,2LmqDL-LPrNO-21-AMDC-34-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-26-AMDC-39-2016-2,ocds-lcuori-2LmqDL-LPrNO-26-AMDC-39-2016-2/3,2LmqDL-LPrNO-26-AMDC-39-2016-2,2LmqDL-LPrNO-26-AMDC-39-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-27-AMDC-40-2016-2,ocds-lcuori-2LmqDL-LPrNO-27-AMDC-40-2016-2/3,2LmqDL-LPrNO-27-AMDC-40-2016-2,2LmqDL-LPrNO-27-AMDC-40-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-28-AMDC-41-2016-2,ocds-lcuori-2LmqDL-LPrNO-28-AMDC-41-2016-2/3,2LmqDL-LPrNO-28-AMDC-41-2016-2,2LmqDL-LPrNO-28-AMDC-41-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-29-AMDC-42-2016-2,ocds-lcuori-2LmqDL-LPrNO-29-AMDC-42-2016-2/3,2LmqDL-LPrNO-29-AMDC-42-2016-2,2LmqDL-LPrNO-29-AMDC-42-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-30-AMDC-43-2016-2,ocds-lcuori-2LmqDL-LPrNO-30-AMDC-43-2016-2/3,2LmqDL-LPrNO-30-AMDC-43-2016-2,2LmqDL-LPrNO-30-AMDC-43-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-31-AMDC-45-2016-2,ocds-lcuori-2LmqDL-LPrNO-31-AMDC-45-2016-2/3,2LmqDL-LPrNO-31-AMDC-45-2016-2,2LmqDL-LPrNO-31-AMDC-45-2016-2,200.0,document
ocds-lcuori-2LmqDL-COT-01-AMDC-27-2016-2,ocds-lcuori-2LmqDL-COT-01-AMDC-27-2016-2/3,2LmqDL-COT-01-AMDC-27-2016-2,2LmqDL-COT-01-AMDC-27-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-14-AMDC-24-2016-2,ocds-lcuori-2LmqDL-LPrNO-14-AMDC-24-2016-2/3,2LmqDL-LPrNO-14-AMDC-24-2016-2,2LmqDL-LPrNO-14-AMDC-24-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-12-AMDC-23-2016-2,ocds-lcuori-2LmqDL-LPrNO-12-AMDC-23-2016-2/3,2LmqDL-LPrNO-12-AMDC-23-2016-2,2LmqDL-LPrNO-12-AMDC-23-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-16-AMDC-28-2016-2,ocds-lcuori-2LmqDL-LPrNO-16-AMDC-28-2016-2/3,2LmqDL-LPrNO-16-AMDC-28-2016-2,2LmqDL-LPrNO-16-AMDC-28-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-19-AMDC-31-2016-2,ocds-lcuori-2LmqDL-LPrNO-19-AMDC-31-2016-2/3,2LmqDL-LPrNO-19-AMDC-31-2016-2,2LmqDL-LPrNO-19-AMDC-31-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-34-AMDC-48-2016-2,ocds-lcuori-2LmqDL-LPrNO-34-AMDC-48-2016-2/3,2LmqDL-LPrNO-34-AMDC-48-2016-2,2LmqDL-LPrNO-34-AMDC-48-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-17-AMDC-29-2016-2,ocds-lcuori-2LmqDL-LPrNO-17-AMDC-29-2016-2/3,2LmqDL-LPrNO-17-AMDC-29-2016-2,2LmqDL-LPrNO-17-AMDC-29-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-18-AMDC-30-2016-2,ocds-lcuori-2LmqDL-LPrNO-18-AMDC-30-2016-2/3,2LmqDL-LPrNO-18-AMDC-30-2016-2,2LmqDL-LPrNO-18-AMDC-30-2016-2,200.0,document
